subject,partner,gender,files,valid files,proportion,gender
62,3,2,1,43,0.023255814,2
62,3,3,1,43,0.023255814,2
62,3,4,1,43,0.023255814,2
63,1,1,0,34,0,1
63,2,2,0,34,0,1
63,2,3,0,34,0,1
63,3,2,0,34,0,1
63,3,3,0,34,0,1
63,3,4,0,34,0,1
64,1,1,0,76,0,2
64,2,2,5,76,0.065789474,2
64,2,3,4,76,0.052631579,2
64,3,2,8,76,0.105263158,2
64,3,3,0,76,0,2
64,3,4,4,76,0.052631579,2
65,1,1,0,55,0,1
65,2,2,0,55,0,1
65,2,3,14,55,0.254545455,1
65,3,2,0,55,0,1
65,3,3,2,55,0.036363636,1
65,3,4,0,55,0,1
66,1,1,0,41,0,1
66,2,2,0,41,0,1
66,2,3,8,41,0.195121951,1
66,3,2,0,41,0,1
66,3,3,0,41,0,1
66,3,4,6,41,0.146341463,1
67,1,1,0,21,0,1
67,2,2,0,21,0,1
67,2,3,0,21,0,1
67,3,2,1,21,0.047619048,1
67,3,3,0,21,0,1
67,3,4,0,21,0,1
68,1,1,0,171,0,2
68,2,2,5,171,0.029239766,2
68,2,3,4,171,0.023391813,2
68,3,2,1,171,0.005847953,2
68,3,3,0,171,0,2
68,3,4,20,171,0.116959064,2
69,1,1,0,48,0,2
69,2,2,1,48,0.020833333,2
69,2,3,1,48,0.020833333,2
69,3,2,0,48,0,2
69,3,3,0,48,0,2
69,3,4,2,48,0.041666667,2
70,1,1,0,70,0,2
70,2,2,5,70,0.071428571,2
70,2,3,0,70,0,2
70,3,2,1,70,0.014285714,2
70,3,3,0,70,0,2
70,3,4,2,70,0.028571429,2
71,1,1,0,103,0,2
71,2,2,9,103,0.087378641,2
71,2,3,9,103,0.087378641,2
71,3,2,1,103,0.009708738,2
71,3,3,9,103,0.087378641,2
71,3,4,0,103,0,2
72,1,1,0,75,0,2
72,2,2,0,75,0,2
72,2,3,4,75,0.053333333,2
72,3,2,0,75,0,2
72,3,3,0,75,0,2
72,3,4,0,75,0,2
73,1,1,0,56,0,2
73,2,2,1,56,0.017857143,2
73,2,3,0,56,0,2
73,3,2,0,56,0,2
73,3,3,1,56,0.017857143,2
73,3,4,0,56,0,2
74,1,1,0,31,0,1
74,2,2,0,31,0,1
74,2,3,0,31,0,1
74,3,2,0,31,0,1
74,3,3,0,31,0,1
74,3,4,0,31,0,1
75,1,1,0,129,0,2
75,2,2,12,129,0.093023256,2
75,2,3,3,129,0.023255814,2
75,3,2,12,129,0.093023256,2
75,3,3,1,129,0.007751938,2
75,3,4,4,129,0.031007752,2
76,1,1,2,117,0.017094017,1
76,2,2,1,117,0.008547009,1
76,2,3,23,117,0.196581197,1
76,3,2,0,117,0,1
76,3,3,2,117,0.017094017,1
76,3,4,4,117,0.034188034,1
77,1,1,0,50,0,1
77,2,2,4,50,0.08,1
77,2,3,13,50,0.26,1
77,3,2,0,50,0,1
77,3,3,0,50,0,1
77,3,4,0,50,0,1
78,1,1,0,53,0,2
78,2,2,4,53,0.075471698,2
78,2,3,2,53,0.037735849,2
78,3,2,0,53,0,2
78,3,3,1,53,0.018867925,2
78,3,4,5,53,0.094339623,2
79,1,1,0,72,0,1
79,2,2,1,72,0.013888889,1
79,2,3,3,72,0.041666667,1
79,3,2,0,72,0,1
79,3,3,9,72,0.125,1
79,3,4,0,72,0,1
80,1,1,0,125,0,1
80,2,2,3,125,0.024,1
80,2,3,22,125,0.176,1
80,3,2,0,125,0,1
80,3,3,24,125,0.192,1
80,3,4,7,125,0.056,1
81,1,1,0,28,0,2
81,2,2,1,28,0.035714286,2
81,2,3,2,28,0.071428571,2
81,3,2,1,28,0.035714286,2
81,3,3,1,28,0.035714286,2
81,3,4,1,28,0.035714286,2
82,1,1,0,48,0,1
82,2,2,0,48,0,1
82,2,3,5,48,0.104166667,1
82,3,2,0,48,0,1
82,3,3,2,48,0.041666667,1
82,3,4,0,48,0,1
83,1,1,2,41,0.048780488,2
83,2,2,0,41,0,2
83,2,3,0,41,0,2
83,3,2,1,41,0.024390244,2
83,3,3,0,41,0,2
83,3,4,2,41,0.048780488,2
